Ad-Dali Airport,YE,Ad-Dali,DHL
Ada Regional Airport,US,Ada,ADT
Adado Airport,SO,Adado,AAD
Adak Airport,US,Adak,ADK
Adam Airport,OM,Adam,AOM
Adampur Airport,IN,Adampur,AIP
Addis Ababa Bole International Airport,ET,Addis Ababa,ADD
Adelaide International Airport,AU,Adelaide,ADL
Aden International Airport,YE,Aden,ADE
Adıyaman Airport,TR,Adıyaman,ADF
Touat Cheikh Sidi Mohamed Belkebir Airport,DZ,Adrar,AZR
Lenawee County Airport,US,Adrian,ADG
Ann Airport,MM,Aeng,VBA
Grand Lake Regional Airport,US,Afton,NRI
Afton Municipal Airport,US,Afton,AFO
Afyon Air Base,TR,Afyonkarahisar,AFY
Mano Dayak International Airport,NE,Agadez,AJY
Al Massira Airport,MA,Agadir (Temsia),AGA
Agartala Airport,IN,Agartala,IXA
Agatti Airport,IN,Agatti,AGX
Agen-La Garenne Airport,FR,Agen/La Garenne,AGF
Aroa Airport,PG,Agevairu,AOA
Aggeneys Airport,ZA,Aggeneys,AGZ
Aghajari Airport,IR,Aghajari,AKW
Agnew Airport,AU,Agnew,AGW
Agra Airport / Agra Air Force Station,IN,Agra,AGR
Agrinion Air Base,GR,Agrinion,AGQ
Ağrı Airport,TR,Ağrı,AJI
Olhos D`água Airport,BR,Água Boa,GGB
Aguaclara Airport,CO,Aguaclara,ACL
Rafael Hernandez Airport,PR,Aguadilla,BQN
Jesús Terán Paredo International Airport,MX,Aguascalientes,AGU
Aguni Airport,JP,Aguni,AGJ
Ahe Airport,PF,Ahe Atoll,AHE
Ahmed Al Jaber Air Base,KW,Ahmed Al Jaber AB,XIJ
Sardar Vallabhbhai Patel International Airport,IN,Ahmedabad,AMD
Ahuas Airport,HN,Ahuas,AHS
Lieutenant General Qasem Soleimani International Airport,IR,Ahvaz,AWZ
Ai-Ais Airport,NA,Ai-Ais,AIW
Aiambak Airport,PG,Aiambak,AIH
Heihe Aihui Airport,CN,Aihui - Heihe,HEK
Aiken Regional Airport,US,Aiken,AIK
Jeh Airport,MH,Ailinglapalap Atoll,JEJ
Jabot Airport,MH,Ailinglapalap Atoll,JAT
Ailuk Airport,MH,Ailuk Island,AIM
Al Ain Airport Ain District - Shabwah Governorate - Yemen,YE,Ain District,WDA
Ainsworth Regional Airport,US,Ainsworth,ANW
Aiome Airport,PG,Aiome,AIE
Aioun el Atrouss Airport,MR,Aioun El Atrouss,AEO
Aishalton Airport,GY,Aishalton,AHL
Tadji Airport,PG,Aitape,TAJ
Aitape Airport,PG,Aitape,ATP
Aitutaki Airport,CK,Aitutaki,AIT
Aiyura Airport,PG,Aiyura Valley,AYU
Lengpui Airport,IN,Aizawl (Lengpui),AJL
Ajaccio-Napoléon Bonaparte Airport,FR,Ajaccio/Napoléon Bonaparte,AJA
Kishangarh Airport Ajmer,IN,Ajmer (Kishangarh),KQH
Akhiok Airport,US,Akhiok,AKK
Akiachak Airport,US,Akiachak,KKI
Akiak Airport,US,Akiak,AKI
Akieni Airport,GA,Akieni,AKE
Akita Airport,JP,Akita,AXT
Akjoujt Airport,MR,Akjoujt,AJJ
Aklavik/Freddie Carmichael Airport,CA,Aklavik,LAK
Akola Airport,IN,Akola,AKD
Akron Canton Regional Airport,US,Akron,CAK
